"ID","SENSORTYPE_ID","LOCATION_ID","VALUE","MEASURE_TIME"
"460","1","1","5.92","2012-04-14 17:54:51.12"
"461","2","1","512.0","2012-04-14 17:54:51.12"
"462","3","1","371.0","2012-04-14 17:54:51.121"
"463","1","1","5.76","2012-04-14 17:55:01.171"
"464","2","1","513.0","2012-04-14 17:55:01.172"
"465","3","1","373.0","2012-04-14 17:55:01.172"
"466","1","1","5.84","2012-04-14 17:55:11.253"
"467","2","1","513.0","2012-04-14 17:55:11.253"
"468","3","1","368.0","2012-04-14 17:55:11.253"
"469","1","1","5.76","2012-04-14 17:55:21.276"
"470","2","1","513.0","2012-04-14 17:55:21.276"
"471","3","1","369.0","2012-04-14 17:55:21.277"
"472","1","1","5.76","2012-04-14 17:55:31.355"
"473","2","1","514.0","2012-04-14 17:55:31.356"
"474","3","1","369.0","2012-04-14 17:55:31.356"
"475","1","1","5.92","2012-04-14 17:55:41.383"
"476","2","1","512.0","2012-04-14 17:55:41.384"
"477","3","1","368.0","2012-04-14 17:55:41.387"
"478","1","1","5.92","2012-04-14 17:55:51.479"
"479","2","1","513.0","2012-04-14 17:55:51.487"
"480","3","1","364.0","2012-04-14 17:55:51.487"
"481","1","1","5.92","2012-04-14 17:56:01.501"
"482","2","1","513.0","2012-04-14 17:56:01.501"
"483","3","1","365.0","2012-04-14 17:56:01.501"
"484","1","1","5.76","2012-04-14 17:56:11.558"
"485","2","1","513.0","2012-04-14 17:56:11.559"
"486","3","1","376.0","2012-04-14 17:56:11.559"
"487","1","1","5.92","2012-04-14 17:56:21.616"
"488","2","1","512.0","2012-04-14 17:56:21.617"
"489","3","1","374.0","2012-04-14 17:56:21.617"
"490","1","1","5.84","2012-04-14 17:56:31.674"
"491","2","1","514.0","2012-04-14 17:56:31.675"
"492","3","1","377.0","2012-04-14 17:56:31.676"
"493","1","1","5.92","2012-04-14 17:56:41.767"
"494","2","1","512.0","2012-04-14 17:56:41.767"
"495","3","1","377.0","2012-04-14 17:56:41.77"
"496","1","1","5.84","2012-04-14 17:56:51.849"
"497","2","1","514.0","2012-04-14 17:56:51.849"
"498","3","1","375.0","2012-04-14 17:56:51.85"
"499","1","1","5.76","2012-04-14 17:57:01.901"
"500","2","1","512.0","2012-04-14 17:57:01.902"
"501","3","1","382.0","2012-04-14 17:57:01.902"
"502","1","1","5.84","2012-04-14 17:57:11.925"
"503","2","1","513.0","2012-04-14 17:57:11.925"
"504","3","1","376.0","2012-04-14 17:57:11.925"
"505","1","1","5.76","2012-04-14 17:57:21.978"
"506","2","1","512.0","2012-04-14 17:57:21.985"
"507","3","1","378.0","2012-04-14 17:57:21.988"
"508","1","1","5.84","2012-04-14 17:57:32.06"
"509","2","1","513.0","2012-04-14 17:57:32.06"
"510","3","1","370.0","2012-04-14 17:57:32.061"
"511","1","1","5.69","2012-04-14 17:57:42.155"
"512","2","1","513.0","2012-04-14 17:57:42.155"
"513","3","1","377.0","2012-04-14 17:57:42.155"
"514","1","1","5.76","2012-04-14 17:57:52.153"
"515","2","1","513.0","2012-04-14 17:57:52.153"
"516","3","1","369.0","2012-04-14 17:57:52.154"
"517","1","1","5.84","2012-04-14 17:58:02.23"
"518","2","1","513.0","2012-04-14 17:58:02.23"
"519","3","1","369.0","2012-04-14 17:58:02.231"
"520","1","1","5.76","2012-04-14 17:58:12.312"
"521","2","1","514.0","2012-04-14 17:58:12.312"
"522","3","1","363.0","2012-04-14 17:58:12.314"
"523","1","1","5.84","2012-04-14 17:58:22.327"
"524","2","1","513.0","2012-04-14 17:58:22.328"
"525","3","1","355.0","2012-04-14 17:58:22.328"
"526","1","1","5.76","2012-04-14 17:58:32.444"
"527","2","1","514.0","2012-04-14 17:58:32.445"
"528","3","1","361.0","2012-04-14 17:58:32.445"
"529","1","1","5.69","2012-04-14 17:58:42.436"
"530","2","1","513.0","2012-04-14 17:58:42.436"
"531","3","1","364.0","2012-04-14 17:58:42.437"
"532","1","1","5.69","2012-04-14 17:58:52.494"
"533","2","1","513.0","2012-04-14 17:58:52.566"
"534","3","1","364.0","2012-04-14 17:58:52.566"
"535","1","1","5.69","2012-04-14 17:59:02.553"
"536","2","1","513.0","2012-04-14 17:59:02.553"
"537","3","1","365.0","2012-04-14 17:59:02.554"
"538","1","1","5.69","2012-04-14 17:59:12.61"
"539","2","1","514.0","2012-04-14 17:59:12.61"
"540","3","1","364.0","2012-04-14 17:59:12.611"
